CSCI122,CSCI122,0,L,MON:WED:FRI,9.0-10.0,,,0,,,
ENGL110,ENGL110,0,L,MON:WED:FRI,13.0-14.0,,,0,,,
ENGL111,ENGL111,0,L,MON:WED:FRI,8.0-9.0,,,0,,,
HUMN251,HUMN251,0,L,MON:WED,14.0-16.0,,,0,,,
MATH102,MATH102,0,L,TUE:THU,18.0-20.0,,,0,,,
MATH111,MATH111,0,L,MON:WED:FRI,9.0-10.0,,,0,,,
MATH112,MATH112,0,L,MON:TUE:WED:THU,10.0-11.0,,,0,,,
MATH131,MATH131,0,L,TUE:THU,11.0-12.5,,,0,,,
MATH151,MATH151,0,L,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH152,MATH152,0,L,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH207,MATH207,0,L,MON:WED:FRI,13.0-14.0,,,0,,,
MATH310,MATH310,0,L,MON:WED:FRI,8.0-9.0,,,0,,,
PHYS221,PHYS221,0,L,TUE:THU,11.0-12.5,,,0,,,
PHYS221-L,PHYS221,0,L,TUE,15.0-17.0,,,0,,,
PHYS231,PHYS231,0,L,TUE:THU,9.5-11.0,,,0,,,
PHYS231-L,PHYS231,0,L,TUE,16.0-18.0,,,0,,,
